peak	gene	distance	peak_type
chr15_91105080_91105682	CRTC3	31781	distal
chr15_91106814_91108012	CRTC3	33515	distal
chr15_91109228_91110267	CRTC3	35929	distal
chr15_91111706_91112385	CRTC3	38407	distal
chr15_91114137_91114963	CRTC3	40838	distal
chr15_91117630_91118132	CRTC3	44331	distal
chr15_91122652_91122746	CRTC3	49353	distal
chr15_91125286_91125474	CRTC3	51987	distal
chr15_91137363_91138907	CRTC3	64064	distal
chr15_91140650_91141811	CRTC3	67351	distal
chr15_91147141_91147517	CRTC3	73842	distal
chr15_91163603_91163997	CRTC3	90304	distal
chr15_91191227_91192328	BLM	-68230	distal
chr15_91193389_91193652	BLM	-66906	distal
chr15_91197883_91198319	BLM	-62239	distal
chr15_91200954_91201487	BLM	-59071	distal
chr15_91203448_91204994	BLM	-55564	distal
chr15_91208123_91209445	BLM	-51113	distal
chr15_91221507_91222135	BLM	-38423	distal
chr15_91229282_91230130	BLM	-30428	distal
chr15_91236891_91237292	BLM	-23266	distal
chr15_91244366_91244569	BLM	-15989	distal
chr15_91245080_91245476	BLM	-15082	distal
chr15_91259755_91261209	BLM	0	promoter
chr15_91281856_91282563	BLM	21232	distal
chr15_91285442_91285673	BLM	24818	distal
chr15_91293314_91293847	BLM	32690	distal
chr15_91305196_91305825	BLM	44572	distal
chr15_91324234_91324517	BLM	63610	distal
chr15_91329599_91330159	BLM	68975	distal
chr15_91351667_91352153	BLM;FURIN	0;-59669	distal;distal
chr15_91359479_91360092	FURIN	-51730	distal
chr15_91361412_91362271	FURIN	-49551	distal
chr15_91362936_91363459	FURIN	-48363	distal
chr15_91367303_91367631	FURIN	-44191	distal
chr15_91372965_91374527	FURIN	-37295	distal
chr15_91379713_91379903	FURIN	-31919	distal
chr15_91381001_91383527	FURIN	-28295	distal
chr15_91387979_91388920	FURIN	-22902	distal
chr15_91394234_91394846	FURIN	-16976	distal
chr15_91395595_91396635	FURIN	-15187	distal
chr15_91397576_91398003	FURIN	-13819	distal
chr15_91399440_91400568	FURIN	-11254	distal
chr15_91402534_91402974	FURIN	-8848	distal
chr15_91406248_91407151	FURIN	-4671	distal
chr15_91412467_91416542	FURIN	0	promoter
chr15_91417298_91417473	FURIN	1191	distal
chr15_91426840_91429666	FES	0	promoter
chr15_91432621_91433169	FES	4346	distal
chr15_91440243_91440794	MAN2A2	-5428	distal
chr15_91445073_91447317	MAN2A2	0	promoter
chr15_91457300_91458114	MAN2A2	9881	distal
chr15_91458688_91459753	MAN2A2	11269	distal
chr15_91471290_91471810	UNC45A	-1600	distal
chr15_91472698_91476288	HDDC3;UNC45A	0;0	promoter;promoter
chr15_91477242_91479280	HDDC3;UNC45A	0;0	promoter;promoter
chr15_91492936_91492938	RCCD1;UNC45A	-5162;0	distal;distal
chr15_91497579_91498944	RCCD1	0	promoter
chr15_91499523_91500543	RCCD1	498	distal
chr15_91525003_91525700	AC068831.18;PRC1	0;12025	distal;distal
chr15_91531713_91532625	AC068831.18;PRC1	0;5100	distal;distal
chr15_91537031_91538593	AC068831.18;PRC1	0;0	distal;promoter
chr15_91565050_91566336	AC068831.18;VPS33B	0;0	promoter;promoter
chr15_91576269_91576777	VPS33B	-10437	distal
chr15_91590674_91591272	VPS33B	-24842	distal
chr15_91592017_91592418	VPS33B	-26185	distal
chr15_91592963_91593516	VPS33B	-27131	distal
chr15_91599062_91599518	VPS33B	-33230	distal
chr15_91643395_91643598	SV2B	0	promoter
chr15_91685470_91685667	SV2B	41956	distal
chr15_91787024_91787450	SV2B	17925	distal
chr15_91790865_91791020	SV2B	21766	distal
chr15_91801655_91801987	SV2B	32556	distal
chr15_91807812_91808385	SV2B	38713	distal
chr15_91814755_91815241	SV2B	45656	distal
chr15_91832589_91832946	SV2B	63490	distal
chr15_91834864_91835348	SV2B	65765	distal
chr15_91845973_91846475	SV2B	76874	distal
chr15_91855139_91855702	SV2B	86040	distal
chr15_91859370_91859731	SV2B	90271	distal
chr15_91863357_91863671	SV2B	94258	distal
chr15_91892251_91892834	SV2B	123152	distal
chr15_91950828_91950936	SV2B	181729	distal
chr15_91966020_91966502	SV2B	196921	distal
chr15_91969816_91969931			intergenic
chr15_91996603_91997038			intergenic
chr15_92012854_92013856			intergenic
chr15_92015429_92016068			intergenic
chr15_92034374_92034893			intergenic
chr15_92065815_92066285			intergenic
chr15_92199162_92199343	SLCO3A1	-197582	distal
chr15_92249240_92250169	SLCO3A1	-146756	distal
chr15_92392847_92393770	SLCO3A1	-3155	distal
chr15_92395682_92399493	SLCO3A1	0	promoter
chr15_92399997_92401616	SLCO3A1	2912	distal
chr15_92404277_92405147	SLCO3A1	7192	distal
chr15_92407927_92408218	SLCO3A1	10842	distal
chr15_92415015_92415416	SLCO3A1	17930	distal
chr15_92429223_92429455	SLCO3A1	32138	distal
chr15_92464489_92465223	SLCO3A1	67404	distal
chr15_92479492_92479493	SLCO3A1	82407	distal
chr15_92483820_92483918	SLCO3A1	86735	distal
chr15_92485853_92487224	SLCO3A1	88768	distal
chr15_92489810_92491282	SLCO3A1	92725	distal
chr15_92493692_92494228	SLCO3A1	96607	distal
chr15_92497565_92498120	SLCO3A1	100480	distal
chr15_92505768_92505889	SLCO3A1	108683	distal
chr15_92611362_92611847	SLCO3A1	0	distal
chr15_92612715_92613512	SLCO3A1	0	distal
chr15_92614232_92614772	SLCO3A1	0	distal
chr15_92620525_92621118	SLCO3A1	0	distal
chr15_92625428_92625888	SLCO3A1	0	distal
chr15_92638614_92639487	SLCO3A1	0	distal
chr15_92640756_92641177	SLCO3A1	0	distal
chr15_92704296_92704519	SLCO3A1	0	distal
chr15_93198972_93199085	FAM174B	103	distal
chr15_93257604_93258432	FAM174B	-58417	distal
chr15_93276456_93277618	FAM174B	-77269	distal
chr15_93340310_93340986	RP11-437B10.1	-85657	distal
chr15_93345098_93345642	RP11-437B10.1	-81001	distal
chr15_93346785_93347984	RP11-437B10.1	-78659	distal
chr15_93350891_93354152	RP11-437B10.1	-72491	distal
chr15_93356528_93357350	RP11-437B10.1	-69293	distal
chr15_93360700_93361149	RP11-437B10.1	-65494	distal
chr15_93362918_93364204	RP11-437B10.1	-62439	distal
chr15_93374572_93376328	RP11-437B10.1	-50315	distal
chr15_93388060_93388848	RP11-437B10.1	-37795	distal
chr15_93392165_93393149	RP11-437B10.1	-33494	distal
chr15_93423171_93423567	RP11-437B10.1	-3076	distal
chr15_93424500_93427480	RP11-437B10.1	0	promoter
chr15_93428019_93428507	RP11-437B10.1	1377	distal
chr15_93433046_93433183	RP11-437B10.1	6404	distal
chr15_93434143_93434152	RP11-437B10.1	7501	distal
chr15_93437179_93438403	CHD2;RP11-437B10.1	-5016;0	distal;distal
chr15_93439933_93440138	CHD2;RP11-437B10.1	-3281;0	distal;distal
chr15_93442959_93444927	CHD2;RP11-437B10.1	0;0	promoter;distal
chr15_93445858_93455466	CHD2;RP11-437B10.1	0;0	promoter;distal
chr15_93456542_93459653	CHD2;RP11-437B10.1	8840;0	distal;distal
chr15_93460670_93461607	CHD2;RP11-437B10.1	12968;0	distal;distal
chr15_93464191_93466459	CHD2;RP11-437B10.1	16489;0	distal;distal
chr15_93467632_93467800	CHD2;RP11-437B10.1	19930;0	distal;distal
chr15_93473887_93474136	CHD2	26185	distal
chr15_93476202_93476228	CHD2	28500	distal
chr15_93501354_93501668	CHD2	53652	distal
chr15_93512653_93512799	CHD2	64951	distal
chr15_93568583_93570076	CHD2;RGMA	0;46298	distal;distal
chr15_93570610_93571011	CHD2;RGMA	0;45363	distal;distal
chr15_93571588_93572930	RGMA	43444	distal
chr15_93573787_93574491	RGMA	41883	distal
chr15_93579057_93579600	RGMA	36774	distal
chr15_93580221_93581200	RGMA	35174	distal
chr15_93583632_93584136	RGMA	32238	distal
chr15_93590759_93591481	RGMA	24893	distal
chr15_93593448_93593762	RGMA	22612	distal
chr15_93595771_93596058	RGMA	20316	distal
chr15_93616243_93617066	RGMA	0	promoter
chr15_93631004_93632865	RGMA	0	promoter
chr15_93684502_93685060	RGMA	-52070	distal
chr15_93695383_93695937	AC112693.2	-53358	distal
chr15_93722082_93722829	AC112693.2	-26466	distal
chr15_93768838_93769407	AC112693.2	19544	distal
chr15_93779112_93780042	AC112693.2	29818	distal
chr15_93790731_93791479	AC112693.2	41437	distal
chr15_93793438_93793844	AC112693.2	44144	distal
chr15_93796015_93796377	AC112693.2	46721	distal
chr15_93819199_93819550	AC112693.2	69905	distal
chr15_94405205_94406837			intergenic
chr15_94408788_94409224			intergenic
chr15_94530335_94530689			intergenic
chr15_94663069_94663580	MCTP2	-111187	distal
chr15_94707448_94707858	MCTP2	-66909	distal
chr15_94716226_94716732	MCTP2	-58035	distal
chr15_94717371_94718221	MCTP2	-56546	distal
chr15_94748704_94748797	MCTP2	-25970	distal
chr15_94749601_94750388	MCTP2	-24379	distal
chr15_94772542_94775865	MCTP2	0	promoter
chr15_94777612_94777886	MCTP2	2846	distal
chr15_94778826_94779320	MCTP2	4060	distal
chr15_94781739_94782273	MCTP2	6973	distal
chr15_94796751_94797431	MCTP2	21985	distal
chr15_94799846_94800137	MCTP2	25080	distal
chr15_94801521_94801790	MCTP2	26755	distal
chr15_94803024_94803423	MCTP2	28258	distal
chr15_94806799_94807175	MCTP2	32033	distal
chr15_94815401_94816340	MCTP2	-25155	distal
chr15_94830801_94831588	MCTP2	-9907	distal
chr15_94834027_94834285	MCTP2	-7210	distal
chr15_94840807_94841264	MCTP2	-231	promoter
chr15_94848273_94848860	MCTP2	6779	distal
chr15_94849830_94850776	MCTP2	8336	distal
chr15_94865434_94865779	MCTP2	23940	distal
chr15_94867350_94867901	MCTP2	25856	distal
chr15_94870829_94870923	MCTP2	-28280	distal
chr15_94914052_94914443	MCTP2	14850	distal
chr15_94931062_94931543	MCTP2	31860	distal
chr15_95128022_95128348			intergenic
chr15_95990007_95990547			intergenic
chr15_96382454_96382989			intergenic
chr15_96407639_96408092			intergenic
chr15_96413318_96413373			intergenic
chr15_96418385_96418933			intergenic
chr15_96422565_96423063			intergenic
chr15_96586123_96586519			intergenic
chr15_96601578_96602119			intergenic
chr15_96873559_96874302	NR2F2	0	promoter
chr15_96899951_96900715	AC087477.1	-3772	distal
chr15_97129167_97130582	SPATA8	-196037	distal
chr15_98044473_98044956			intergenic
chr15_98047364_98047754			intergenic
chr15_98452526_98452906	ARRDC4	-51022	distal
chr15_98503014_98505165	ARRDC4	0	promoter
chr15_98527499_98527838	ARRDC4	23572	distal
chr15_98539224_98539496	ARRDC4	35297	distal
chr15_98619698_98620089	ARRDC4	115771	distal
chr15_98703393_98703843	ARRDC4	199466	distal
chr15_98712842_98713171			intergenic
chr15_98721270_98721529			intergenic
chr15_98964817_98965210	FAM169B	63916	distal
chr15_98971531_98971967	FAM169B	57159	distal
chr15_99062232_99062726	FAM169B	-33107	distal
chr15_99090931_99092044	FAM169B	-61806	distal
chr15_99143416_99144092	IGF1R	-48108	distal
chr15_99190115_99195473	IGF1R	0	promoter
chr15_99202397_99202881	IGF1R	10125	distal
chr15_99278010_99278139	IGF1R	85738	distal
chr15_99319934_99320487	IGF1R	127662	distal
chr15_99322738_99323339	IGF1R	130466	distal
chr15_99331421_99332063	IGF1R	139149	distal
chr15_99344143_99344220	IGF1R	151871	distal
chr15_99366343_99366734	IGF1R	174071	distal
chr15_99393912_99396897	IGF1R;PGPEP1L	0;151894	distal;distal
chr15_99401883_99402311	IGF1R;PGPEP1L	0;146480	distal;distal
chr15_99408455_99410056	IGF1R;PGPEP1L	0;138735	distal;distal
chr15_99416770_99417544	IGF1R;PGPEP1L	0;131247	distal;distal
chr15_99424809_99425188	IGF1R;PGPEP1L	0;123603	distal;distal
chr15_99442563_99443316	IGF1R;PGPEP1L	0;105475	distal;distal
chr15_99458448_99458893	IGF1R;PGPEP1L	0;89898	distal;distal
chr15_99495623_99495649	IGF1R;PGPEP1L	0;53142	distal;distal
chr15_99496320_99496832	IGF1R;PGPEP1L	0;51959	distal;distal
chr15_99557974_99558699	PGPEP1L	-6951	distal
chr15_99561344_99561661	PGPEP1L	-10321	distal
chr15_99602084_99602589	SYNM	-35831	distal
chr15_99619863_99620331	SYNM	-18089	distal
chr15_99630579_99630876	SYNM	-7544	distal
chr15_99640826_99640908	SYNM	2407	distal
chr15_99644927_99646099	SYNM	0	promoter
chr15_99664364_99664379	SYNM	19079	distal
chr15_99753442_99753773	TTC23	27994	distal
chr15_99790843_99792538	LRRC28;TTC23	0;0	promoter;promoter
chr15_99813168_99813592	LRRC28	21423	distal
chr15_99884124_99884380	AC022819.2;LRRC28	-24297;0	distal;distal
chr15_99949178_99949700	AC015660.1	88878	distal
chr15_99961327_99961631	AC015660.1	76947	distal
chr15_99965103_99965879	AC015660.1	72699	distal
chr15_99978830_99979168	AC015660.1	59410	distal
chr15_99984317_99984742	AC015660.1	53836	distal
chr15_99990979_99991639	AC015660.1	46939	distal
chr15_99992758_99993745	AC015660.1	44833	distal
chr15_99995070_99995634	AC015660.1	42944	distal
chr15_100014141_100014866	AC015660.1	23712	distal
chr15_100016605_100017588	AC015660.1	20990	distal
chr15_100018660_100018702	AC015660.1	19876	distal
chr15_100025701_100027063	AC015660.1	11515	distal
chr15_100035953_100036632	AC015660.1	1946	distal
chr15_100040349_100040922	AC015660.1	-1772	distal
chr15_100042303_100042724	AC015660.1	-3726	distal
chr15_100044250_100044949	AC015660.1	-5673	distal
chr15_100047914_100048328	AC015660.1	-9337	distal
chr15_100049821_100051347	AC015660.1	-11244	distal
chr15_100052140_100052698	AC015660.1	-13563	distal
chr15_100096406_100096407	MEF2A	-9498	distal
chr15_100102566_100102625	MEF2A	-3280	distal
chr15_100103644_100107811	MEF2A	0	promoter
chr15_100154367_100155497	MEF2A	48076	distal
chr15_100171326_100171907	MEF2A	65035	distal
chr15_100243398_100245037	LYSMD4;MEF2A	12992;0	distal;distal
chr15_100246825_100247968	LYSMD4;MEF2A	10061;0	distal;distal
chr15_100260715_100261673	LYSMD4	-2687	distal
chr15_100272787_100274288	LYSMD4	0	promoter
chr15_100295915_100296442	LYSMD4	-22267	distal
chr15_100310942_100311231	LYSMD4	-37294	distal
chr15_100346266_100346487	LYSMD4	-72618	distal
chr15_100347256_100347630	LYSMD4	-73608	distal
chr15_100452281_100452353	LYSMD4	-178633	distal
chr15_100455840_100456862	LYSMD4	-182192	distal
chr15_100457617_100457620	LYSMD4	-183969	distal
chr15_100465941_100466847	LYSMD4	-192293	distal
chr15_100468454_100469367	LYSMD4	-194806	distal
chr15_100741890_100742333	ADAMTS17	139877	distal
chr15_100769623_100770157	ADAMTS17	112053	distal
chr15_100870266_100871369	ADAMTS17	10841	distal
chr15_100874194_100874820	ADAMTS17	7390	distal
chr15_100878896_100879649	ADAMTS17	2561	distal
chr15_100880837_100882929	ADAMTS17	0	promoter
chr15_100889607_100891264	ADAMTS17	-7398	distal
chr15_100893670_100894089	ADAMTS17	-11461	distal
chr15_100923999_100924369	ADAMTS17	-41790	distal
chr15_100934927_100935372	ADAMTS17	-52718	distal
chr15_101057412_101057986	CERS3	26490	distal
chr15_101060424_101061025	CERS3	23451	distal
chr15_101077489_101078011	CERS3	6465	distal
chr15_101099507_101099968	CERS3	-14583	distal
chr15_101100643_101100886	CERS3	-15719	distal
chr15_101136185_101137775	LINS1	4601	distal
chr15_101141134_101143728	ASB7;LINS1	0;0	promoter;promoter
chr15_101167930_101168426	ASB7	25117	distal
chr15_101261851_101262514	ASB7	119038	distal
chr15_101389677_101390197	ALDH1A3	-29384	distal
chr15_101413141_101413685	ALDH1A3	-5896	distal
chr15_101419731_101419997	ALDH1A3	-47	promoter
chr15_101442732_101443113	ALDH1A3;LRRK1	0;-16307	distal;distal
chr15_101458089_101460458	LRRK1	0	promoter
chr15_101462354_101462882	LRRK1	2805	distal
chr15_101474786_101475304	LRRK1	15237	distal
chr15_101480070_101480341	LRRK1	20521	distal
chr15_101480915_101481984	LRRK1	21366	distal
chr15_101499034_101499950	LRRK1	39485	distal
chr15_101547073_101547578	LRRK1	87524	distal
chr15_101548132_101549197	LRRK1	88583	distal
chr15_101555378_101555814	LRRK1	95829	distal
chr15_101558389_101558673	LRRK1	98840	distal
chr15_101575921_101576143	LRRK1	116372	distal
chr15_101603016_101603160	LRRK1	143467	distal
chr15_101610788_101611184	LRRK1	151239	distal
chr15_101628732_101629575	CHSY1	162562	distal
chr15_101661730_101662394	CHSY1	129743	distal
chr15_101664820_101665704	CHSY1	126433	distal
chr15_101667006_101668258	CHSY1	123879	distal
chr15_101675765_101676205	CHSY1	115932	distal
chr15_101677424_101678231	CHSY1	113906	distal
chr15_101680241_101680619	CHSY1	111518	distal
chr15_101690338_101690963	CHSY1	101174	distal
chr15_101693040_101693413	CHSY1	98724	distal
chr15_101696776_101697014	CHSY1	95123	distal
chr15_101707833_101708925	CHSY1	83212	distal
chr15_101715599_101716073	CHSY1	76064	distal
chr15_101733866_101734901	CHSY1	57236	distal
chr15_101739917_101740349	CHSY1	51788	distal
chr15_101741489_101742065	CHSY1	50072	distal
chr15_101744052_101744142	CHSY1	47995	distal
chr15_101746311_101746821	CHSY1	45316	distal
chr15_101747928_101748588	CHSY1	43549	distal
chr15_101777330_101777840	CHSY1	14297	distal
chr15_101779819_101780430	CHSY1	11707	distal
chr15_101782343_101783517	CHSY1	8620	distal
chr15_101784276_101785072	CHSY1	7065	distal
chr15_101790511_101793112	CHSY1	0	promoter
chr15_101798274_101798943	CHSY1	-6138	distal
chr15_101816497_101818336	VIMP	0	promoter
chr15_101829035_101829591	SNRPA1	5865	distal
chr15_101834151_101836220	SNRPA1	0	promoter
chr15_101840480_101840944	SNRPA1	-5021	distal
chr15_101860567_101861516	PCSK6	12943	distal
chr15_101873907_101875100	PCSK6	0	promoter
chr15_101986233_101986832	PCSK6	43068	distal
chr15_101995389_101996382	PCSK6	33518	distal
chr15_102040175_102040624	PCSK6	-9989	distal
chr15_102042008_102042535	PCSK6	-11822	distal
chr15_102165286_102165832	TM2D3	25063	distal
chr15_102181014_102182820	TM2D3	8075	distal
chr15_102186861_102187195	TM2D3	3700	distal
chr15_102191722_102193486	TM2D3	0	promoter
chr15_102194393_102194792	TARSL2;TM2D3	0;-1800	distal;distal
chr15_102263352_102265431	TARSL2	0	promoter
chr15_102285521_102285865	TARSL2	-20715	distal
chr15_102286408_102287005	TARSL2	-21602	distal
chr16_60128_61295	POLR3K	42333	distal
chr16_84750_85641	POLR3K	17987	distal
chr16_87583_87808	POLR3K	15820	distal
chr16_88737_89433	POLR3K	14195	distal
chr16_102818_104459	POLR3K;SNRNP25	0;0	promoter;promoter
chr16_115429_116287	RHBDF1	6342	distal
chr16_122422_122915	RHBDF1	0	promoter
chr16_126045_126627	MPG	-391	promoter
chr16_127169_129141	MPG	0	promoter
chr16_134602_135315	MPG;NPRL3	6347;0	distal;distal
chr16_146650_147541	MPG;NPRL3	18395;0	distal;distal
chr16_156790_157455	MPG;NPRL3	28535;0	distal;distal
chr16_167693_168247	NPRL3	20264	distal
chr16_173970_174355	NPRL3	14156	distal
chr16_187958_189283	NPRL3	0	promoter
chr16_204184_204665	HBZ	1499	distal
chr16_215641_216596	HBM	0	promoter
chr16_225165_225399	HBA1	-1280	distal
chr16_230171_232038	HBQ1	0	promoter
chr16_278501_279804	LUC7L	0	promoter
chr16_284088_285967	FAM234A	0	promoter
chr16_291816_292245	FAM234A	6972	distal
chr16_302626_303387	AC004754.3;FAM234A	3081;0	distal;distal
chr16_325179_325538	RGS11	373	distal
chr16_328858_329365	ARHGDIG	-1241	distal
chr16_353721_354066	AXIN1;PDIA2	0;20557	distal;distal
chr16_357698_358111	AXIN1;PDIA2	0;24534	distal;distal
chr16_359561_359822	AXIN1;PDIA2	0;26397	distal;distal
chr16_372032_372573	AXIN1	29876	distal
chr16_373574_375951	AXIN1	26498	distal
chr16_376804_378101	AXIN1	24348	distal
chr16_386227_386709	AXIN1	15740	distal
chr16_388089_388345	AXIN1	14104	distal
chr16_389450_390129	AXIN1	12320	distal
chr16_401871_405709	AXIN1	0	promoter
chr16_411896_412735	MRPL28	7068	distal
chr16_420198_421300	MRPL28;TMEM8A	0;0	promoter;distal
chr16_430871_434598	TMEM8A	0	promoter
chr16_441708_443076	NME4	-3649	distal
chr16_446532_448142	NME4	0	promoter
chr16_450185_452535	DECR2;NME4	0;0	promoter;distal
chr16_474527_477136	RAB11FIP3	0	promoter
chr16_575473_579569	CAPN15	0	promoter
chr16_585548_585854	CAPN15	7693	distal
chr16_596657_597644	CAPN15;PRR35	0;-12778	distal;distal
chr16_616590_617394	NHLRC4;PIGQ	0;0	promoter;promoter
chr16_619312_621600	NHLRC4;PIGQ	0;0	distal;promoter
chr16_628764_629552	PIGQ	8703	distal
chr16_638012_640840	RAB40C	0	promoter
chr16_642457_643361	RAB40C	2369	distal
chr16_646300_646349	RAB40C	6212	distal
chr16_661029_661485	RAB40C;WFIKKN1	0;-19447	distal;distal
chr16_685603_687944	C16orf13	0	promoter
chr16_691291_693200	FAM195A	0	promoter
chr16_697972_700076	FAM195A;WDR90	0;0	distal;promoter
chr16_710271_711478	WDR90	-3706	distal
chr16_717432_719293	RHOT2;WDR90	0;0	promoter;distal
chr16_724992_725915	RHBDL1	0	promoter
chr16_726921_727786	RHBDL1	847	distal
chr16_728705_731363	STUB1	0	promoter
chr16_733584_735056	JMJD8;WDR24	0;0	promoter;distal
chr16_736003_736374	JMJD8;WDR24	-1565;0	distal;distal
chr16_739738_740998	WDR24	0	promoter
chr16_743763_746213	FBXL16	0	promoter
chr16_750508_751240	FBXL16	-4484	distal
chr16_755754_756171	FBXL16	0	promoter
chr16_761464_762161	METRN	-2954	distal
chr16_762841_763240	METRN	-1875	distal
chr16_764409_766158	METRN	0	promoter
chr16_769773_772512	FAM173A	0	promoter
chr16_774299_774525	CCDC78	1948	distal
chr16_775533_778992	CCDC78;HAGHL	0;0	promoter;promoter
chr16_780382_780609	HAGHL;NARFL	3112;0	distal;distal
chr16_783652_784072	NARFL	3817	distal
chr16_790377_791671	NARFL	0	promoter
chr16_804604_805046	MSLN	-5716	distal
chr16_807451_807890	MSLN	-2872	distal
chr16_835338_836058	RPUSD1	1923	distal
chr16_837766_839229	CHTF18;RPUSD1	0;0	promoter;promoter
chr16_856855_858368	PRR25	1413	distal
chr16_863569_864056	PRR25	8127	distal
chr16_869381_869731	PRR25	13939	distal
chr16_927450_928034	LMF1;PRR25	0;72008	distal;distal
chr16_1014057_1015192	LMF1	5674	distal
chr16_1020102_1021761	LMF1	0	promoter
chr16_1030081_1032625	AC009041.2;SOX8	0;0	promoter;promoter
chr16_1046709_1048545	SOX8	14902	distal
chr16_1052799_1053052	SOX8	20992	distal
chr16_1053865_1054570	SOX8	22058	distal
chr16_1105355_1105417	SSTR5	-23364	distal
chr16_1107474_1107827	SSTR5	-20954	distal
chr16_1152768_1153420	C1QTNF8	-6525	distal
chr16_1156282_1156674	C1QTNF8	-10039	distal
chr16_1201926_1203375	CACNA1H	0	promoter
chr16_1238956_1239033	CACNA1H	35219	distal
chr16_1256791_1257136	CACNA1H;TPSG1	0;18121	distal;distal
chr16_1258267_1258613	CACNA1H;TPSG1	0;16644	distal;distal
chr16_1294950_1295290	TPSAB1	4226	distal
chr16_1350646_1351492	UBE2I	-7389	distal
chr16_1353368_1354814	UBE2I	-4067	distal
chr16_1358364_1362129	UBE2I	0	promoter
chr16_1380586_1380879	BAIAP3	-2723	distal
chr16_1381384_1384690	BAIAP3	0	promoter
chr16_1385393_1386161	BAIAP3	-37	promoter
chr16_1388251_1388314	BAIAP3	2054	distal
chr16_1392241_1394621	BAIAP3	6044	distal
chr16_1401210_1402575	GNPTG;TSR3	0;0	promoter;promoter
chr16_1413354_1413895	GNPTG;UNKL	11403;0	distal;distal
chr16_1420338_1420739	UNKL	8945	distal
chr16_1428675_1430157	UNKL	0	promoter
chr16_1457748_1458987	UNKL	5705	distal
chr16_1463435_1465546	UNKL	0	promoter
chr16_1470142_1471681	C16orf91	0	promoter
chr16_1478440_1479077	LA16c-312E8.5	-1959	distal
chr16_1482237_1483269	LA16c-312E8.5	1202	distal
chr16_1495068_1495232	CCDC154;CLCN7	-512;0	promoter;distal
chr16_1508721_1509447	CCDC154;CLCN7	-14165;0	distal;distal
chr16_1519562_1521537	CLCN7	3521	distal
chr16_1524335_1525761	CLCN7	0	promoter
chr16_1530368_1530926	CLCN7	-4788	distal
chr16_1533440_1533659	PTX4	4809	distal
chr16_1542625_1544142	TELO2	0	promoter
chr16_1575973_1577341	IFT140;TMEM204	0;-1348	distal;distal
chr16_1583232_1584688	IFT140;TMEM204	0;0	promoter;promoter
chr16_1585352_1586121	IFT140;TMEM204	0;1779	distal;distal
chr16_1587785_1589172	IFT140;TMEM204	0;4212	distal;distal
chr16_1593019_1594252	IFT140;TMEM204	0;9446	distal;distal
chr16_1660017_1665145	CRAMP1;IFT140	0;0	promoter;promoter
chr16_1696205_1696606	CRAMP1;LA16c-431H6.6	0;13946	distal;distal
chr16_1727726_1729107	CRAMP1;HN1L;LA16c-431H6.6	0;0;0	distal;promoter;distal
chr16_1755089_1757729	MAPK8IP3	0	promoter
chr16_1758384_1759167	MAPK8IP3	2164	distal
chr16_1763813_1764388	MAPK8IP3	7593	distal
chr16_1769698_1770218	MAPK8IP3	13478	distal
chr16_1771852_1772807	MAPK8IP3	15632	distal
chr16_1773417_1773988	MAPK8IP3	17197	distal
chr16_1781474_1781796	MAPK8IP3	25254	distal
chr16_1817342_1817589	MAPK8IP3;NME3	0;3973	distal;distal
chr16_1818138_1818182	MAPK8IP3;NME3	0;3380	distal;distal
chr16_1819114_1824388	EME2;MAPK8IP3;MRPS34;NME3	0;0;0;0	promoter;distal;promoter;promoter
chr16_1831567_1833750	NUBP2;SPSB3	0;0	promoter;promoter
chr16_1862670_1863079	HAGH	13756	distal
chr16_1875666_1877785	FAHD1;HAGH	0;0	promoter;promoter
chr16_1905209_1905913	MEIOB	12273	distal
chr16_1913697_1914072	MEIOB	4114	distal
chr16_1922028_1922471	MEIOB	0	promoter
chr16_1973565_1974005	HS3ST6	-5125	distal
chr16_1979167_1980459	HS3ST6	-10727	distal
chr16_1988199_1988929	MSRB1	4267	distal
chr16_1991805_1993951	MSRB1	0	promoter
chr16_2008811_2016070	NDUFB10;RPS2	0;0	promoter;promoter
chr16_2021155_2022958	TBL3	0	promoter
chr16_2029296_2029671	NOXO1;TBL3	1513;0	distal;distal
chr16_2033274_2034928	GFER	0	promoter
chr16_2039074_2044272	SYNGR3	0	promoter
chr16_2053699_2054448	ZNF598	5300	distal
chr16_2055328_2056039	ZNF598	3709	distal
chr16_2057915_2060682	ZNF598	0	promoter
chr16_2065250_2066844	NPW	-2702	distal
chr16_2069556_2070137	NPW	0	promoter
chr16_2072627_2074053	NPW	2725	distal
chr16_2076554_2078002	SLC9A3R2	0	promoter
chr16_2083000_2083939	SLC9A3R2	0	promoter
chr16_2094040_2094230	NTHL1;TSC2	0;-3236	distal;distal
chr16_2097108_2098540	NTHL1;TSC2	0;0	promoter;promoter
chr16_2115276_2115685	TSC2	17074	distal
chr16_2171462_2171714	PKD1	14185	distal
chr16_2174924_2175392	PKD1	10507	distal
chr16_2177317_2178907	PKD1	6992	distal
chr16_2185376_2186726	PKD1	0	promoter
chr16_2190304_2191209	PKD1	-4406	distal
chr16_2193276_2194378	RAB26	-3767	distal
chr16_2197620_2199892	RAB26	0	promoter
chr16_2202728_2207004	RAB26;TRAF7	0;0	distal;promoter
chr16_2228515_2229139	CASKIN1	17387	distal
chr16_2244798_2247062	CASKIN1	0	promoter
chr16_2254769_2256456	MLST8	0	promoter
chr16_2262885_2263356	BRICD5;PGP	-935;0	promoter;distal
chr16_2264214_2265719	PGP	0	promoter
